"epoch","Group: SCVQVAE1D(256_64_[128, 256]_4)?dataset=CelebA&batch_size=128&count_sampling=POWER_LAW&pixel_sampling=GAUSSIAN&exponent=60&max_e - _step","Group: SCVQVAE1D(256_64_[128, 256]_4)?dataset=CelebA&batch_size=128&count_sampling=POWER_LAW&pixel_sampling=GAUSSIAN&exponent=60&max_e - _step__MIN","Group: SCVQVAE1D(256_64_[128, 256]_4)?dataset=CelebA&batch_size=128&count_sampling=POWER_LAW&pixel_sampling=GAUSSIAN&exponent=60&max_e - _step__MAX","Group: SCVQVAE1D(256_64_[128, 256]_4)?dataset=CelebA&batch_size=128&count_sampling=POWER_LAW&pixel_sampling=GAUSSIAN&exponent=60&max_e - val_vq_loss","Group: SCVQVAE1D(256_64_[128, 256]_4)?dataset=CelebA&batch_size=128&count_sampling=POWER_LAW&pixel_sampling=GAUSSIAN&exponent=60&max_e - val_vq_loss__MIN","Group: SCVQVAE1D(256_64_[128, 256]_4)?dataset=CelebA&batch_size=128&count_sampling=POWER_LAW&pixel_sampling=GAUSSIAN&exponent=60&max_e - val_vq_loss__MAX","Group: VQVAE(256_64_[128, 256]_4)?dataset=CelebA&batch_size=128&max_epochs=100 - _step","Group: VQVAE(256_64_[128, 256]_4)?dataset=CelebA&batch_size=128&max_epochs=100 - _step__MIN","Group: VQVAE(256_64_[128, 256]_4)?dataset=CelebA&batch_size=128&max_epochs=100 - _step__MAX","Group: VQVAE(256_64_[128, 256]_4)?dataset=CelebA&batch_size=128&max_epochs=100 - val_vq_loss","Group: VQVAE(256_64_[128, 256]_4)?dataset=CelebA&batch_size=128&max_epochs=100 - val_vq_loss__MIN","Group: VQVAE(256_64_[128, 256]_4)?dataset=CelebA&batch_size=128&max_epochs=100 - val_vq_loss__MAX"
"82","1771","1771","1771","0.0008802018244750797","0.0005919351824559271","0.0015129301464185119","1771","1771","1771","0.003114114562049508","0.0018815197981894016","0.003934379667043686"
"83","1793","1793","1793","0.0008861994720064104","0.000587416929192841","0.0015966064529493451","1793","1793","1793","0.00302912974730134","0.0019144690595567226","0.003844262333586812"
"84","1814","1814","1814","0.0008918122970499098","0.0005780046340078115","0.0015817350940778852","1814","1814","1814","0.003072192263789475","0.0018978187581524253","0.004006391856819391"
"85","1835","1835","1835","0.0009074600762687624","0.0005809224094264209","0.0017146049067378044","1835","1835","1835","0.0029905474744737147","0.0017339733894914389","0.003730055643245578"
"86","1857","1857","1857","0.0008786299964413047","0.0005808975547552109","0.0015975328860804439","1857","1857","1857","0.003011946100741625","0.0018241510260850191","0.0037620817311108112"
"87","1878","1878","1878","0.0008715977310203016","0.0005791783332824707","0.0015938220312818885","1878","1878","1878","0.003085451223887503","0.0018312971806153655","0.004188206512480974"
"88","1900","1900","1900","0.0008649799507111311","0.0005702609196305275","0.0015984732890501618","1900","1900","1900","0.0030042992904782293","0.0017334157600998878","0.0037795656826347113"
"89","1921","1921","1921","0.00085171302780509","0.0005871826433576643","0.0015021808212623","1921","1921","1921","0.0030289752874523403","0.0017831649165600538","0.003787850961089134"
"90","1942","1942","1942","0.0008700171951204538","0.0005820493679493666","0.0015761879039928317","1942","1942","1942","0.0029794299975037576","0.0017774351872503757","0.0038740327581763268"
"91","1964","1964","1964","0.0008708954206667841","0.0005854112678207457","0.0015855806414037943","1964","1964","1964","0.003005695249885321","0.0017504445277154446","0.003883712226524949"
"92","1985","1985","1985","0.0008756333380006253","0.0005805037217214704","0.0015573527198284864","1985","1985","1985","0.003083023219369352","0.001818053307943046","0.00403418205678463"
"93","2006","2006","2006","0.0008847884484566749","0.0005769727285951376","0.0016313492087647319","2006","2006","2006","0.003061020583845675","0.0017714806599542499","0.003947089891880751"
"94","2028","2028","2028","0.0009477784391492605","0.0005875646602362394","0.001887148362584412","2028","2028","2028","0.0030554677825421093","0.0017455990891903639","0.00384450308047235"
"95","2049","2049","2049","0.0008802812430076301","0.0005866456776857376","0.0015771074686199427","2049","2049","2049","0.0029955729842185974","0.0017445425037294626","0.003732118057087064"
"96","2070","2070","2070","0.00088374437764287","0.0005865112179890275","0.001589860417880118","2070","2070","2070","0.002981284400448203","0.0017837460618466139","0.003754269564524293"
"97","2092","2092","2092","0.0008935308782383799","0.0005803892272524536","0.001666032592765987","2092","2092","2092","0.0029733772855252026","0.0017221488524228334","0.003855978837236762"
"98","2113","2113","2113","0.0008417982840910554","0.0005773986340500414","0.0013850127579644322","2113","2113","2113","0.003003623429685831","0.0017839495558291674","0.003940477967262268"
"99","2135","2135","2135","0.0008568842895328999","0.0005843096878379583","0.0014903515111654997","2135","2135","2135","0.003051213268190622","0.0017850168514996767","0.003942412324249744"
