"epoch","Group: SCVAE1D(64)?dataset=CelebA&batch_size=128&count_sampling=POWER_LAW&pixel_sampling=UNIFORM&exponent=60&max_epochs=100 - _step","Group: SCVAE1D(64)?dataset=CelebA&batch_size=128&count_sampling=POWER_LAW&pixel_sampling=UNIFORM&exponent=60&max_epochs=100 - _step__MIN","Group: SCVAE1D(64)?dataset=CelebA&batch_size=128&count_sampling=POWER_LAW&pixel_sampling=UNIFORM&exponent=60&max_epochs=100 - _step__MAX","Group: SCVAE1D(64)?dataset=CelebA&batch_size=128&count_sampling=POWER_LAW&pixel_sampling=UNIFORM&exponent=60&max_epochs=100 - val_recon_loss_0(MASKED)","Group: SCVAE1D(64)?dataset=CelebA&batch_size=128&count_sampling=POWER_LAW&pixel_sampling=UNIFORM&exponent=60&max_epochs=100 - val_recon_loss_0(MASKED)__MIN","Group: SCVAE1D(64)?dataset=CelebA&batch_size=128&count_sampling=POWER_LAW&pixel_sampling=UNIFORM&exponent=60&max_epochs=100 - val_recon_loss_0(MASKED)__MAX","Group: SCVAE1D(64)?dataset=CelebA&batch_size=128&count_sampling=POWER_LAW&pixel_sampling=UNIFORM&exponent=60&max_epochs=100 - val_recon_loss_0","Group: SCVAE1D(64)?dataset=CelebA&batch_size=128&count_sampling=POWER_LAW&pixel_sampling=UNIFORM&exponent=60&max_epochs=100 - val_recon_loss_0__MIN","Group: SCVAE1D(64)?dataset=CelebA&batch_size=128&count_sampling=POWER_LAW&pixel_sampling=UNIFORM&exponent=60&max_epochs=100 - val_recon_loss_0__MAX","Group: VAE(64)?dataset=CelebA&batch_size=128&max_epochs=100 - _step","Group: VAE(64)?dataset=CelebA&batch_size=128&max_epochs=100 - _step__MIN","Group: VAE(64)?dataset=CelebA&batch_size=128&max_epochs=100 - _step__MAX","Group: VAE(64)?dataset=CelebA&batch_size=128&max_epochs=100 - val_recon_loss_0","Group: VAE(64)?dataset=CelebA&batch_size=128&max_epochs=100 - val_recon_loss_0__MIN","Group: VAE(64)?dataset=CelebA&batch_size=128&max_epochs=100 - val_recon_loss_0__MAX"
"81","1750","1750","1750","18237.858072916668","17992.15625","18536.28515625","16263.986653645834","16062.4658203125","16508.22265625","1750","1750","1750","15291.208984375","15184.783203125","15379.4521484375"
"82","1771","1771","1771","18324.537760416668","18224.083984375","18521.830078125","16381.472330729166","16236.6162109375","16496.171875","1771","1771","1771","15378.32421875","15159.0673828125","15493.5361328125"
"83","1793","1793","1793","18242.1484375","17953.74609375","18397.4765625","16258.19140625","15995.5546875","16469.173828125","1793","1793","1793","15319.09921875","15270.1484375","15383.7568359375"
"84","1814","1814","1814","18547.576171875","18371.765625","18689.013671875","16528.131510416668","16419.125","16622.658203125","1814","1814","1814","15271.797265625","15205.1025390625","15312.6728515625"
"85","1835","1835","1835","18315.003255208332","18146.06640625","18551.2578125","16339.547200520834","16182.955078125","16503.046875","1835","1835","1835","15295.4193359375","15191.921875","15435.900390625"
"86","1857","1857","1857","18268.822916666668","18084.560546875","18363.400390625","16273.142903645834","16077.994140625","16371.529296875","1857","1857","1857","15296.6900390625","15217.599609375","15397.6435546875"
"87","1878","1878","1878","18438.672526041668","18151.408203125","18905.58203125","16441.931966145832","16089.5556640625","16900.46484375","1878","1878","1878","15296.176171875","15234.1708984375","15407.470703125"
"88","1900","1900","1900","18371.908203125","18214.125","18531.560546875","16369.313802083334","16210.5283203125","16528.408203125","1900","1900","1900","15348.357421875","15236.869140625","15509.3076171875"
"89","1921","1921","1921","18386.891927083332","18339.904296875","18442.609375","16304.03515625","16249.9208984375","16333.5771484375","1921","1921","1921","15367.0494140625","15292.328125","15429.5087890625"
"90","1942","1942","1942","18362.451171875","18266.572265625","18469.791015625","16351.469075520834","16260.8447265625","16431.3515625","1942","1942","1942","15310.472265625","15213.271484375","15401.798828125"
"91","1964","1964","1964","18628.58203125","18475.541015625","18912.482421875","16521.763020833332","16322.9638671875","16884.3671875","1964","1964","1964","15362.119140625","15290.30859375","15449.0146484375"
"92","1985","1985","1985","18297.833984375","18262.6953125","18354.45703125","16268.048177083334","16167.8583984375","16364.1533203125","1985","1985","1985","15354.793359375","15223.6162109375","15418.23046875"
"93","2006","2006","2006","18268.21875","18016.33203125","18497.548828125","16253.793619791666","16012.5029296875","16521.767578125","2006","2006","2006","15324.4560546875","15149.3798828125","15441.4794921875"
"94","2028","2028","2028","18397.623697916668","18176.005859375","18535.767578125","16333.151041666666","16160.9580078125","16481.966796875","2028","2028","2028","15321.783203125","15144.814453125","15416.8310546875"
"95","2049","2049","2049","18479.197265625","18307.318359375","18632.859375","16399.533528645832","16319.4013671875","16532.150390625","2049","2049","2049","15320.5314453125","15185.2373046875","15581.4814453125"
"96","2070","2070","2070","18549.503255208332","18437.568359375","18731.513671875","16410.716471354168","16243.31640625","16610.9296875","2070","2070","2070","15305.3888671875","15037.6689453125","15503.6416015625"
"97","2092","2092","2092","18421.274739583332","18314.349609375","18559.150390625","16359.112630208334","16208.615234375","16461.595703125","2092","2092","2092","15236.61953125","15069.4892578125","15367.349609375"
"98","2113","2113","2113","18480.722005208332","18305.798828125","18670.662109375","16386.9833984375","16085.396484375","16724.166015625","2113","2113","2113","15233.6029296875","14993.9619140625","15323.3525390625"
"99","2135","2135","2135","18434.842447916668","18322.791015625","18550.986328125","16367.9951171875","16139.2255859375","16577.029296875","2135","2135","2135","15259.2171875","15109.67578125","15430.4697265625"
