"epoch","Group: SCVAE2D(64_SOFT)?dataset=CelebA&batch_size=128&count_sampling=EXACT&pixel_sampling=EXACT&max_epochs=100 - _step","Group: SCVAE2D(64_SOFT)?dataset=CelebA&batch_size=128&count_sampling=EXACT&pixel_sampling=EXACT&max_epochs=100 - _step__MIN","Group: SCVAE2D(64_SOFT)?dataset=CelebA&batch_size=128&count_sampling=EXACT&pixel_sampling=EXACT&max_epochs=100 - _step__MAX","Group: SCVAE2D(64_SOFT)?dataset=CelebA&batch_size=128&count_sampling=EXACT&pixel_sampling=EXACT&max_epochs=100 - val_kl_loss","Group: SCVAE2D(64_SOFT)?dataset=CelebA&batch_size=128&count_sampling=EXACT&pixel_sampling=EXACT&max_epochs=100 - val_kl_loss__MIN","Group: SCVAE2D(64_SOFT)?dataset=CelebA&batch_size=128&count_sampling=EXACT&pixel_sampling=EXACT&max_epochs=100 - val_kl_loss__MAX","Group: VAE(64)?dataset=CelebA&batch_size=128&max_epochs=100 - _step","Group: VAE(64)?dataset=CelebA&batch_size=128&max_epochs=100 - _step__MIN","Group: VAE(64)?dataset=CelebA&batch_size=128&max_epochs=100 - _step__MAX","Group: VAE(64)?dataset=CelebA&batch_size=128&max_epochs=100 - val_kl_loss","Group: VAE(64)?dataset=CelebA&batch_size=128&max_epochs=100 - val_kl_loss__MIN","Group: VAE(64)?dataset=CelebA&batch_size=128&max_epochs=100 - val_kl_loss__MAX"
"65","1408","1408","1408","10618.16015625","10549.076171875","10687.244140625","1408","1408","1408","8066.372265625","7958.787109375","8160.44140625"
"66","1430","1430","1430","10568.9248046875","10546.4599609375","10591.3896484375","1430","1430","1430","8011.88173828125","7884.84814453125","8179.30517578125"
"67","1451","1451","1451","10426.4658203125","10337.044921875","10515.88671875","1451","1451","1451","8084.37919921875","8055.8466796875","8116.01611328125"
"68","1472","1472","1472","10309.2568359375","9994.6142578125","10623.8994140625","1472","1472","1472","8134.43837890625","8075.048828125","8202.259765625"
"69","1494","1494","1494","10442.140625","10428.26953125","10456.01171875","1494","1494","1494","8054.18271484375","7993.314453125","8166.99072265625"
"70","1515","1515","1515","10379.8642578125","10230.1806640625","10529.5478515625","1515","1515","1515","8120.84892578125","8070.2548828125","8179.86865234375"
"71","1536","1536","1536","10334.47705078125","10153.2158203125","10515.73828125","1536","1536","1536","8091.93056640625","8006.74658203125","8196.513671875"
"72","1558","1558","1558","10434.10546875","10255.6103515625","10612.6005859375","1558","1558","1558","8068.049609375","7992.44873046875","8216.9326171875"
"73","1579","1579","1579","10613.86376953125","10446.94921875","10780.7783203125","1579","1579","1579","8097.71220703125","8044.474609375","8163.71337890625"
"74","1601","1601","1601","11080.0419921875","10998.609375","11161.474609375","1601","1601","1601","8000.93232421875","7962.0517578125","8039.0869140625"
"75","1622","1622","1622","10650.81591796875","10343.76171875","10957.8701171875","1622","1622","1622","8125.66904296875","8070.87841796875","8185.3525390625"
"76","1643","1643","1643","10602.9404296875","10291.51171875","10914.369140625","1643","1643","1643","8032.1865234375","7971.65380859375","8111.0947265625"
"77","1665","1665","1665","10449.29833984375","10228.5859375","10670.0107421875","1665","1665","1665","8084.5166015625","8011.59716796875","8174.845703125"
"78","1686","1686","1686","10575.26708984375","10357.4541015625","10793.080078125","1686","1686","1686","8053.24208984375","7975.85302734375","8129.57958984375"
"79","1707","1707","1707","10646.97705078125","10519.8193359375","10774.134765625","1707","1707","1707","8052.01044921875","7999.14990234375","8109.328125"
"80","1729","1729","1729","10640.0751953125","10463.6650390625","10816.4853515625","1729","1729","1729","8045.376171875","7985.49560546875","8131.29248046875"
"81","1750","1750","1750","10498.21337890625","10245.22265625","10751.2041015625","1750","1750","1750","8096.91962890625","8054.998046875","8171.45849609375"
"82","1771","1771","1771","10423.81396484375","10197.3759765625","10650.251953125","1771","1771","1771","8073.87998046875","7942.64208984375","8201.8310546875"
"83","1793","1793","1793","10520.77392578125","10441.7734375","10599.7744140625","1793","1793","1793","8069.84306640625","8019.28515625","8159.109375"
"84","1814","1814","1814","10675.0244140625","10529.26171875","10820.787109375","1814","1814","1814","8091.787109375","8031.00341796875","8130.12353515625"
